step,reward_mean,cov_rew_mean,col_rew_mean,aux_rew_mean
24576,0.0248,72.4286,-8.0000,77.3141
49152,0.1090,61.8214,-8.0000,66.5146
73728,0.0217,61.1077,-8.0000,66.3621
98304,0.0217,61.9432,-8.0000,67.4443
122880,0.0200,63.5550,-8.0000,69.7783
147456,0.0226,64.2450,-8.0000,71.3261
172032,0.0100,67.0950,-8.0000,75.1133
196608,0.0976,70.4850,-8.0000,78.6174
221184,0.0275,72.8400,-8.0000,82.0196
245760,0.0234,70.4700,-8.0000,79.6146
270336,0.0278,72.2550,-8.0000,82.1822
294912,0.0273,69.3750,-8.0000,80.2358
319488,0.0225,70.6800,-8.0000,81.8741
344064,0.0185,74.6700,-8.0000,87.1882
368640,0.0888,76.0050,-8.0000,89.7738
393216,0.0209,71.7750,-8.0000,86.6685
417792,0.0256,70.3800,-8.0000,85.7283
442368,0.0218,63.4800,-8.0000,78.4496
466944,0.0260,65.5500,-8.0000,80.7637
491520,0.0172,65.6700,-8.0000,81.1301
516096,0.0214,66.2700,-8.0000,82.4275
540672,0.1527,64.6500,-8.0000,79.4921
565248,0.0831,60.7200,-8.0000,74.6121
589824,0.0214,66.6750,-8.0000,80.3112
614400,0.0246,66.8550,-8.0000,78.7470
638976,0.0817,67.0950,-8.0000,80.5886
663552,0.0861,63.0750,-8.0000,77.4808
688128,0.0165,60.3150,-8.0000,73.1739
712704,0.0227,64.5900,-8.0000,76.9566
737280,0.0193,66.2400,-8.0000,78.1531
761856,0.0232,67.0650,-8.0000,77.9859
786432,0.0211,65.0850,-8.0000,77.0008
811008,0.0203,72.5550,-7.9200,85.5826
835584,0.0212,69.8100,-7.9200,82.5753
860160,0.0803,70.3200,-7.9200,83.2595
884736,0.0839,68.2200,-8.0000,81.4455
909312,0.0836,66.3450,-8.0000,79.2515
933888,0.0223,68.0100,-8.0000,81.5545
958464,0.0830,69.6750,-8.0000,83.1932
983040,0.0827,75.4800,-8.0000,88.6964
1007616,0.0174,75.4500,-8.0000,88.7674
1032192,0.0196,74.8650,-8.0000,87.5089
1056768,0.0820,69.5400,-8.0000,82.4611
1081344,0.0818,75.8100,-8.0000,88.8164
1105920,0.0179,76.5450,-8.0000,88.3949
