step,reward_mean_norm,reward_mean_raw,cov_rew_mean,col_rew_mean,aux_rew_mean,ep_len_mean,cov_per_step_mean,aux_per_step_mean
12288,0.0088,0.4691,326.5077,-8.0000,104.1308,738.54,0.8427,0.1351
24576,0.0069,0.4425,338.7069,-7.7241,113.4376,795.48,0.8193,0.1340
36864,0.0098,0.6213,337.4937,-7.8333,109.6775,758.62,4.5702,0.1341
49152,0.0080,0.4834,346.6288,-7.7288,116.4854,800.81,3.8702,0.1354
61440,0.0082,0.4883,347.3892,-7.7838,116.9511,800.18,3.2792,0.1368
73728,0.0106,0.6204,343.6288,-7.8298,115.0231,775.18,4.5344,0.1387
86016,0.0104,0.6104,343.3810,-7.8400,113.1787,756.65,4.3454,0.1406
98304,0.0102,0.5963,340.6420,-7.9200,111.9128,732.51,8.9433,0.1400
110592,0.0068,0.3974,340.7680,-7.9200,116.7029,758.27,7.0959,0.1430
122880,0.0096,0.5554,344.1730,-7.7600,122.9797,785.66,7.0767,0.1457
135168,0.0090,0.5170,342.1640,-7.7600,120.4511,759.55,7.0613,0.1480
147456,0.0081,0.4661,347.7700,-7.6800,127.2785,790.11,7.0584,0.1505
159744,0.0100,0.5764,355.6920,-7.6000,134.1434,824.82,5.3116,0.1546
172032,0.0113,0.6553,358.1180,-7.6000,135.1608,819.49,5.4945,0.1567
184320,0.0099,0.5728,364.0320,-7.5200,139.2634,829.98,5.9203,0.1594
196608,0.0081,0.4623,372.2220,-7.3600,144.4878,852.83,5.9081,0.1606
208896,0.0120,0.6881,369.8670,-7.5200,139.0778,809.08,5.9303,0.1632
221184,0.0127,0.7250,359.8410,-7.6000,128.9444,736.45,7.3215,0.1636
233472,0.0095,0.5444,361.3390,-7.6800,132.6598,751.51,7.3038,0.1650
245760,0.0116,0.6611,362.4011,-7.5200,135.8955,762.69,8.2225,0.1658
258048,0.0083,0.4717,365.3600,-7.4400,140.1481,787.68,4.8559,0.1686
270336,0.0090,0.5136,360.4400,-7.4400,136.1840,769.10,4.8858,0.1685
282624,0.0110,0.6236,355.6140,-7.5200,133.8397,762.58,5.9310,0.1654
294912,0.0099,0.5584,357.5320,-7.5200,133.2496,763.30,4.6760,0.1669
307200,0.0109,0.6171,362.7950,-7.5200,139.0286,798.22,4.6104,0.1672
319488,0.0106,0.5989,363.6210,-7.5200,141.3606,808.68,3.4148,0.1689
331776,0.0121,0.6808,363.9540,-7.6800,139.5899,790.40,1.8399,0.1728
344064,0.0092,0.5161,365.2850,-7.7600,140.3836,787.80,1.8344,0.1744
356352,0.0108,0.6040,368.1870,-7.8400,143.6879,796.85,1.8462,0.1761
368640,0.0101,0.5638,367.3380,-7.6800,142.1371,791.27,4.0870,0.1747
380928,0.0110,0.6197,366.8310,-7.6000,141.1869,781.81,5.6644,0.1731
393216,0.0114,0.6427,371.4930,-7.4400,139.7711,775.29,5.7490,0.1721
405504,0.0106,0.5968,374.0680,-7.4400,145.2366,803.94,5.7001,0.1730
417792,0.0117,0.6560,371.1220,-7.2800,140.6236,781.39,5.7085,0.1723
430080,0.0112,0.6238,374.1240,-7.1200,139.8149,770.74,5.7099,0.1738
442368,0.0126,0.6994,380.4700,-7.1200,145.6308,792.95,4.0270,0.1781
454656,0.0125,0.6948,379.1530,-7.2000,141.8542,761.78,2.4164,0.1806
466944,0.0155,0.8651,363.1780,-7.4400,124.5560,664.27,0.8847,0.1839
479232,0.0116,0.6440,366.8140,-7.3600,130.5668,686.61,2.3516,0.1844
491520,0.0125,0.6982,353.3270,-7.6000,119.4616,624.13,2.4094,0.1855
503808,0.0118,0.6594,349.6110,-7.6000,116.2924,611.27,2.3752,0.1851
516096,0.0101,0.5602,349.4710,-7.6800,117.9473,626.30,2.3817,0.1845
528384,0.0125,0.6970,351.7590,-7.7600,121.7279,644.83,2.3312,0.1863
540672,0.0124,0.6902,353.6300,-7.7600,125.4656,665.79,2.4032,0.1868
552960,0.0114,0.6360,358.4960,-7.7600,129.6598,696.55,0.8720,0.1855
565248,0.0117,0.6488,363.0380,-7.6000,134.3858,715.23,0.8572,0.1864
577536,0.0108,0.6038,367.1440,-7.5200,137.8141,737.37,0.8923,0.1857
589824,0.0123,0.6859,363.3040,-7.4400,131.6981,699.08,0.9233,0.1866
602112,0.0146,0.8112,361.8319,-7.3600,125.5660,662.53,0.9548,0.1888
614400,0.0134,0.7453,364.8060,-7.3600,125.0735,655.91,0.8962,0.1895
626688,0.0091,0.5099,359.1910,-7.4400,119.6737,636.04,0.9746,0.1897
638976,0.0080,0.4533,356.8520,-7.6000,123.1119,653.06,0.9537,0.1909
651264,0.0118,0.6681,357.4160,-7.5200,123.3834,654.23,0.9837,0.1910
663552,0.0099,0.5597,362.4340,-7.5200,130.1491,691.19,0.9512,0.1907
675840,0.0095,0.5332,367.2920,-7.4400,143.3300,767.23,0.9138,0.1887
688128,0.0043,0.2390,362.7630,-7.5200,142.6308,772.43,0.9070,0.1863
700416,0.0081,0.4740,367.1780,-7.5200,154.0388,845.62,0.8480,0.1849
712704,0.0096,0.5617,370.5470,-7.4400,154.6789,842.61,0.8524,0.1835
724992,0.0059,0.3556,373.8680,-7.4400,154.5067,845.75,3.4245,0.1794
737280,0.0109,0.6515,369.5880,-7.6000,149.1774,825.87,3.4100,0.1775
749568,0.0106,0.6351,366.0930,-7.5200,144.6379,802.23,3.4033,0.1780
761856,0.0109,0.6487,366.4409,-7.6000,140.7253,784.42,3.4032,0.1769
774144,0.0106,0.6350,367.6070,-7.6000,138.8433,765.89,3.4043,0.1787
786432,0.0110,0.6574,361.3840,-7.6800,133.7773,738.36,3.4061,0.1783
798720,0.0108,0.6453,354.2760,-7.7600,128.9024,706.81,2.8052,0.1787
811008,0.0106,0.6281,357.3410,-7.6000,131.3470,721.81,2.7827,0.1781
823296,0.0130,0.7735,348.8600,-7.7600,122.1672,666.66,5.9877,0.1750
835584,0.0085,0.5032,353.8900,-7.5200,127.7633,703.10,5.9570,0.1753
847872,0.0128,0.7569,352.2320,-7.4400,122.7550,676.23,8.0513,0.1732
860160,0.0120,0.7126,356.9060,-7.4400,124.0582,674.75,7.3140,0.1760
872448,0.0094,0.5549,362.5000,-7.2000,129.7964,695.92,6.1791,0.1784
884736,0.0101,0.5970,363.3650,-7.2000,134.9211,724.65,6.1646,0.1780
897024,0.0108,0.6377,372.6930,-7.2000,146.2856,772.94,2.9397,0.1842
909312,0.0113,0.6644,366.4650,-7.3600,141.3968,735.45,2.9696,0.1847
921600,0.0087,0.5104,374.4970,-7.2800,152.6822,793.98,2.8881,0.1871
933888,0.0087,0.5083,378.4930,-7.2800,159.7517,837.93,0.8018,0.1876
946176,0.0110,0.6463,374.1990,-7.2000,159.7513,838.15,0.7725,0.1875
958464,0.0118,0.6941,370.0150,-7.4400,153.8079,815.23,0.7656,0.1877
970752,0.0096,0.5643,365.7980,-7.3600,150.8875,808.46,0.7651,0.1864
983040,0.0104,0.6065,364.5210,-7.3600,148.5920,798.69,2.6968,0.1837
995328,0.0123,0.7174,355.8130,-7.4400,136.0542,740.64,6.2729,0.1774
1007616,0.0099,0.5777,351.5330,-7.6000,130.9526,711.43,6.2878,0.1774
1019904,0.0109,0.6370,365.9720,-7.3600,144.7905,772.32,6.2105,0.1798
1032192,0.0115,0.6725,357.2120,-7.4400,136.8616,731.96,10.2594,0.1733
1044480,0.0099,0.5747,360.9480,-7.6000,136.9079,731.06,10.2639,0.1726
1056768,0.0079,0.4618,362.4970,-7.6000,139.7885,750.28,8.3424,0.1740
1069056,0.0103,0.6008,366.2180,-7.5200,145.0082,762.00,8.3234,0.1773
1081344,0.0124,0.7241,364.9800,-7.5200,140.8459,742.86,4.7910,0.1807
1093632,0.0102,0.5926,353.2080,-7.6800,133.1516,717.42,4.8515,0.1786
1105920,0.0085,0.4955,359.6110,-7.7600,139.3976,759.00,2.0832,0.1818
1118208,0.0093,0.5396,362.1120,-7.6800,145.7066,791.01,0.8037,0.1847
1130496,0.0105,0.6074,366.0900,-7.6000,149.6305,814.90,0.7926,0.1850
1142784,0.0081,0.4677,358.0990,-7.7600,143.4234,789.67,2.6072,0.1816
1155072,0.0108,0.6290,363.4350,-7.6800,150.1864,817.32,2.6405,0.1826
1167360,0.0116,0.6699,376.0160,-7.6000,160.4726,868.23,2.5980,0.1832
1179648,0.0103,0.5951,376.4300,-7.6800,159.5320,855.68,2.5519,0.1840
1191936,0.0119,0.6872,369.2060,-7.7600,149.0890,791.05,2.5356,0.1844
1204224,0.0122,0.7073,359.2550,-7.7600,138.4662,732.69,5.7664,0.1814
1216512,0.0107,0.6204,366.3620,-7.6800,143.1245,752.56,3.9663,0.1847
1228800,0.0094,0.5406,365.4370,-7.6800,137.0972,729.63,3.9627,0.1829
1241088,0.0105,0.6025,366.6800,-7.5200,142.5015,767.84,3.9675,0.1827
1253376,0.0119,0.6881,358.1840,-7.5200,132.0058,713.57,6.8877,0.1790
1265664,0.0092,0.5293,360.5740,-7.3600,136.8313,739.83,6.8945,0.1781
1277952,0.0078,0.4489,361.0690,-7.3600,141.7947,772.43,7.7091,0.1762
1290240,0.0092,0.5320,369.5200,-7.2800,149.0766,819.52,6.0080,0.1762
1302528,0.0070,0.4077,364.1920,-7.3600,146.6469,808.25,5.9823,0.1758
1314816,0.0138,0.8015,354.7050,-7.4400,136.0117,740.68,7.2898,0.1740
1327104,0.0116,0.6708,355.4830,-7.4400,136.5924,750.65,7.7734,0.1720
1339392,0.0089,0.5159,356.9120,-7.5200,138.7392,769.39,7.7544,0.1717
1351680,0.0116,0.6745,356.5320,-7.5200,132.9064,731.90,5.4088,0.1758
1363968,0.0093,0.5412,356.3850,-7.5200,132.4519,721.87,6.3646,0.1755
1376256,0.0094,0.5479,354.4900,-7.6000,129.4285,713.38,6.3785,0.1745
1388544,0.0086,0.4993,365.7930,-7.4400,140.5444,776.71,5.0794,0.1762
1400832,0.0101,0.5823,369.6700,-7.4400,147.7693,827.92,5.0773,0.1744
1413120,0.0086,0.4976,376.7540,-7.2800,154.4965,863.12,3.1610,0.1774
1425408,0.0096,0.5548,379.2839,-7.2000,157.7743,897.60,1.6883,0.1777
1437696,0.0124,0.7173,380.0750,-7.2000,152.7877,868.13,1.7128,0.1750
1449984,0.0088,0.5091,381.9010,-7.1200,153.4220,884.59,0.7835,0.1745
1462272,0.0105,0.6067,386.7490,-6.8800,155.7995,898.75,0.8027,0.1730
1474560,0.0077,0.4452,383.7090,-7.0400,154.9560,895.67,0.8090,0.1723
1486848,0.0099,0.5705,380.6890,-7.0400,155.9343,902.26,2.3395,0.1704
1499136,0.0035,0.2005,372.3880,-7.2000,146.9847,859.33,3.7976,0.1665
1511424,0.0114,0.6646,373.8080,-7.2000,147.0126,839.68,3.8239,0.1666
1523712,0.0112,0.6564,371.5280,-7.3600,148.4182,846.63,3.7951,0.1677
1536000,0.0096,0.5623,366.5201,-7.4400,142.3461,808.64,3.7763,0.1678
1548288,0.0089,0.5191,361.7390,-7.6000,141.6433,800.28,3.7371,0.1684
1560576,0.0080,0.4658,355.6070,-7.6000,134.5855,773.35,6.5207,0.1632
1572864,0.0083,0.4843,360.0010,-7.6800,139.6071,807.26,4.9648,0.1641
