step,reward_mean_norm,reward_mean_raw,cov_rew_mean,col_rew_mean,aux_rew_mean,ep_len_mean,cov_per_step_mean,aux_per_step_mean
12288,0.0101,0.5092,336.3250,-8.0000,117.0564,855.25,0.6307,0.1336
24576,0.0092,0.4991,342.6424,-8.0000,118.2513,869.38,8.3301,0.1291
36864,0.0084,0.4361,348.4132,-8.0000,121.4241,902.21,5.8780,0.1278
49152,0.0065,0.3412,352.9854,-7.8333,132.6913,980.58,4.7511,0.1287
61440,0.0095,0.5001,355.1262,-7.8689,131.3627,964.39,3.8978,0.1300
73728,0.0056,0.3028,357.2708,-7.7778,134.5101,986.03,3.3606,0.1312
86016,0.0110,0.6012,353.9667,-7.8222,128.5758,939.92,2.8323,0.1309
98304,0.0073,0.3932,356.2150,-7.8400,132.5108,960.20,2.5880,0.1324
110592,0.0079,0.4278,355.3470,-7.8400,131.8483,952.88,2.5930,0.1325
122880,0.0075,0.4006,361.8900,-7.8400,141.1160,1007.85,0.5802,0.1351
135168,0.0096,0.5121,357.0190,-7.8400,137.1930,967.63,2.4046,0.1355
147456,0.0086,0.4591,355.6850,-7.9200,134.2584,945.69,2.3874,0.1357
159744,0.0081,0.4315,353.3840,-8.0000,134.9666,941.82,2.3764,0.1369
172032,0.0085,0.4538,358.4410,-7.9200,137.5853,956.40,2.4073,0.1363
184320,0.0096,0.5074,364.3130,-7.8400,143.3424,989.68,2.3804,0.1379
196608,0.0109,0.5697,363.4890,-7.7600,138.6415,952.99,2.4526,0.1386
208896,0.0084,0.4411,375.4670,-7.5200,148.4781,1010.95,2.4260,0.1401
221184,0.0087,0.4612,371.5500,-7.5200,142.0591,964.05,2.4177,0.1412
233472,0.0095,0.5041,372.9920,-7.5200,143.2963,956.79,0.6638,0.1450
245760,0.0120,0.6423,373.6060,-7.4400,139.3815,918.30,0.7399,0.1462
258048,0.0092,0.4920,371.0369,-7.4400,135.3383,882.05,2.7331,0.1468
270336,0.0118,0.6289,365.0390,-7.5200,129.8687,831.29,2.7563,0.1495
282624,0.0112,0.6009,355.6410,-7.6000,124.3203,784.68,4.0922,0.1502
294912,0.0096,0.5118,355.2450,-7.6800,124.2834,775.93,4.0861,0.1519
307200,0.0126,0.6736,354.8000,-7.6800,120.5667,748.39,4.1066,0.1531
319488,0.0112,0.5963,359.5300,-7.6800,128.2071,782.31,4.0462,0.1566
331776,0.0103,0.5529,352.4660,-7.7600,123.4932,743.27,3.8538,0.1582
344064,0.0093,0.5027,353.5430,-7.6800,126.6945,756.39,3.8283,0.1597
356352,0.0118,0.6344,361.9930,-7.6000,134.9658,798.47,2.4846,0.1627
368640,0.0109,0.5879,356.3500,-7.7600,128.1814,755.84,2.5232,0.1631
380928,0.0109,0.5839,361.1140,-7.6800,132.7356,779.65,2.4741,0.1638
393216,0.0105,0.5607,361.5230,-7.7600,135.5192,798.16,2.4329,0.1635
405504,0.0118,0.6304,362.9500,-7.6800,137.6395,807.12,2.3843,0.1651
417792,0.0109,0.5854,364.6750,-7.6800,137.0547,801.61,1.8443,0.1649
430080,0.0114,0.6114,354.0430,-7.8400,128.9449,755.16,3.1566,0.1628
442368,0.0123,0.6627,354.4940,-7.7600,128.3538,741.16,3.1734,0.1641
454656,0.0118,0.6394,349.1050,-7.7600,123.5541,701.97,5.3677,0.1642
466944,0.0112,0.6087,349.1900,-7.7600,121.8826,688.15,5.4253,0.1652
479232,0.0130,0.7022,353.3070,-7.6800,121.3317,672.93,4.2757,0.1702
491520,0.0112,0.6082,358.8889,-7.6800,126.1030,687.20,3.0140,0.1752
503808,0.0128,0.6950,361.2870,-7.7600,130.5011,698.40,2.9439,0.1798
516096,0.0126,0.6855,362.6860,-7.5200,132.7690,701.85,2.3973,0.1818
528384,0.0136,0.7355,356.8010,-7.6000,128.0480,667.59,2.4278,0.1845
540672,0.0110,0.5953,354.6310,-7.6800,131.1560,686.06,2.4139,0.1834
552960,0.0119,0.6466,355.7479,-7.7600,129.3800,680.20,3.9051,0.1802
565248,0.0126,0.6832,354.6660,-7.7600,127.3266,671.11,3.9284,0.1794
577536,0.0119,0.6469,351.4090,-7.7600,126.5906,671.05,5.2045,0.1767
589824,0.0115,0.6218,358.5200,-7.7600,131.6658,709.78,3.5817,0.1762
602112,0.0114,0.6201,367.7620,-7.6000,139.8621,758.10,5.5081,0.1747
614400,0.0113,0.6114,372.0170,-7.5200,140.0691,766.57,5.4753,0.1740
626688,0.0116,0.6259,370.3540,-7.5200,136.2028,757.16,4.0245,0.1733
638976,0.0124,0.6679,368.6890,-7.5200,135.6032,758.45,4.0232,0.1724
651264,0.0132,0.7127,371.0050,-7.5200,132.8835,750.77,2.7977,0.1724
663552,0.0123,0.6651,355.3300,-7.8400,122.7543,694.74,3.6353,0.1704
675840,0.0116,0.6278,348.6790,-7.8400,118.2757,664.34,3.6656,0.1711
688128,0.0113,0.6117,346.0050,-7.8400,117.6019,664.15,5.1756,0.1685
700416,0.0117,0.6372,342.6560,-7.8400,117.1537,653.65,6.8535,0.1685
712704,0.0112,0.6100,347.9640,-7.7600,124.9398,700.19,8.5788,0.1666
724992,0.0106,0.5761,347.6200,-7.7600,126.9924,706.28,8.5684,0.1676
737280,0.0103,0.5574,354.9090,-7.7600,135.1235,751.27,7.2297,0.1697
